"ScreenName","RequiredApi","CurrentApiExists","RequiredTables","CurrentTablesExist","SeedDataRequired","LiveDataStatus","BackendGap","DbGap","ReworkPriority"
"W001 Login","/api/auth/login;/api/auth/refresh;/api/auth/me","Yes","Users;Roles;UserSessions;RefreshTokens;CompanyScopes","Partial","SuperAdmin user and role","PARTIAL","Stale-token cleanup and deliberate super admin rule need final hardening","Identity bootstrap and role mirror need production seed clarity","CRITICAL"
"W002 Forgot Password / Reset","/api/auth/forgot-password","Partial","Users;PasswordResetRequests;NotificationEvents","Partial","Admin/test recovery account","PARTIAL","Reset completion and provider delivery are incomplete","Reset/provider tables may need additive completion","CRITICAL"
"W003 Context Switch","/api/auth/switch-context;/api/companies;/api/branches;/api/warehouses","Yes","Companies;Branches;Warehouses;UserScopes","Yes","Company branch warehouse seed","LIVE","Warehouse preference persistence is not fully server-owned","None critical","HIGH"
"W004 Role Home Dashboard","/api/dashboards/*;/api/notifications;/api/approvals","Partial","DashboardViews;Notifications;Approvals;Orders;WorkOrders","Partial","Operational demo data","PARTIAL","Role-specific task composition is shallow","KPI materialization may need views","HIGH"
"W005 Global Search","/api/search","No","SearchIndex or indexed source views","No","Cross-domain searchable seed","UNKNOWN","No global search API","No search index/read model","CRITICAL"
"W006 Notification Center","/api/notifications","Yes","Notifications;NotificationRecipients;NotificationEvents","Yes","Notification seed","LIVE","Provider delivery sync incomplete","Provider delivery tables partial","HIGH"
"W007 Approval Workbench","/api/approvals","Yes","Approvals;ApprovalSteps;WorkflowRules;AuditEvents","Partial","Approval queue seed","LIVE","Workflow depth delegation and comments incomplete","Approval history/audit depth partial","HIGH"
"W008 User Management","/api/users","Partial","Users;Roles;UserRoles;UserScopes;Devices","Partial","SuperAdmin and admin users","PARTIAL","Full user write/device/MFA lifecycle incomplete","Device/MFA tables partial or missing","CRITICAL"
"W009 Role & Permission Matrix","/api/roles","Partial","Roles;Permissions;RolePermissions;MenuPolicies","Partial","SuperAdmin role templates","PARTIAL","Action/data/mobile scope granularity incomplete","Permission model needs additive depth","CRITICAL"
"W010 Language Setup","/api/localization/resources","Partial","Languages;LocalizationResources;TranslationReviews","Partial","Base en-IN resources","PARTIAL","Language lifecycle and publish workflow incomplete","Review/publish tables partial","MEDIUM"
"W011 Numbering / Workflow","/api/settings/workflow-rules","Partial","NumberingSeries;WorkflowRules;WorkflowVersions;StatusTransitions","Partial","Default document series","PARTIAL","Concurrency-safe numbering and versioned workflow incomplete","Series locking/version tables partial","CRITICAL"
"W012 Tenant Settings","/api/settings/tenant-settings","Partial","TenantSettings;FeatureFlags;SettingAudit","Partial","Default tenant settings","PARTIAL","Write/publish model incomplete","Settings audit/version tables partial","HIGH"
"W020 Company Master","/api/companies","Yes","Companies;CompanyContacts;CompanyCalendars;AuditEvents","Partial","Company seed","LIVE","Legal/contact/calendar depth incomplete","Contact/calendar tables partial","HIGH"
"W021 Branch Master","/api/branches","Yes","Branches;BranchContacts;BranchCalendars;Warehouses","Partial","Branch seed","LIVE","Default warehouse and contacts need depth","Branch contact/calendar partial","HIGH"
"W022 Department Master","/api/departments","Yes","Departments;Users;UserScopes","Yes","Department seed","LIVE","Manager/user mapping incomplete","None critical","MEDIUM"
"W023 Warehouse Master","/api/warehouses","Yes","Warehouses;Bins;WarehousePolicies;InventoryBalances","Partial","Warehouse seed","LIVE","Policy and capacity depth incomplete","Warehouse policy tables partial","HIGH"
"W024 Bin Master","/api/bins","Yes","Bins;BinBarcodes;BinCapacity;InventoryBalances","Partial","Bin seed","LIVE","Physical hierarchy barcode capacity incomplete","Bin barcode/capacity partial","HIGH"
"W025 Shift Calendar","/api/shifts","Yes","Shifts;ShiftCalendars;Holidays;CapacityCalendars","Partial","Shift seed","LIVE","Exception/publish lifecycle incomplete","Calendar versioning partial","HIGH"
"W026 Work Center Master","/api/work-centers","Yes","WorkCenters;Departments;CapacityRules","Partial","Work center seed","UNKNOWN","No web route though backend exists","Capacity rule depth partial","HIGH"
"W027 Machine Master","/api/machines","Yes","Machines;WorkCenters;MachineCalendars;MachineStatus","Partial","Machine seed","UNKNOWN","No web setup route","Calendar/status depth partial","HIGH"
"W028 Tool Master","/api/tools","Yes","Tools;ToolAssignments;ToolMaintenance","Partial","Tool seed","UNKNOWN","No web setup route","Maintenance/assignment depth partial","HIGH"
"W029 UOM Class","/api/uom/classes","Yes","UomClasses;Uoms","Yes","UOM class seed","PARTIAL","Dependency blockers shallow","None critical","MEDIUM"
"W030 UOM Conversion","/api/uom/conversions","Yes","UomConversions;MeasurementFormulas","Partial","Base conversion seed","PARTIAL","Formula and item impact shallow","Formula depth partial","HIGH"
"W031 Measurement Profile","/api/measurement-profiles;/api/measurement-formulas","Yes","MeasurementProfiles;MeasurementFormulas;ItemTrackingRules","Partial","Profile seed","PARTIAL","Catch-weight/dimensional depth incomplete","Item tracking integration partial","HIGH"
"W032 Item Group","/api/items or master setup endpoint","Partial","ItemGroups;ItemSubgroups;ItemDefaults","Partial","Item group seed","FALLBACK","Dedicated setup API depth unclear","Defaults/required attributes partial","HIGH"
"W033 Item Attribute","/api/items or attribute endpoint","Partial","ItemAttributes;AttributeValues;CategoryAttributeRules","Partial","Attribute seed","FALLBACK","Dedicated attribute lifecycle shallow","Attribute rule tables partial","HIGH"
"W034 Reason Codes","/api/settings/reason-codes or status-rules endpoint","Partial","ReasonCodes;StatusRules;EscalationRules","Partial","Reason seed","FALLBACK","Transaction integration shallow","Status rule linkage partial","HIGH"
"W040 Item List","/api/items","Yes","Items;ItemGroups;ItemAttributes;InventoryBalances","Partial","Item seed","PARTIAL","Read list exists but readiness/deep filters incomplete","V2 item depth missing","CRITICAL"
"W041 Item Detail","/api/items;/api/item-uoms;/api/item-variants;/api/item-barcodes","Partial","Items;ItemMedia;ItemDocuments;ItemCatalog;ItemPackaging;ItemSpecs;ItemReferences","Partial","Rich item seed","PARTIAL","Many V2 tabs lack API contracts","Media catalog packaging specs refs missing/partial","CRITICAL"
"W042 Item Variant Matrix","/api/item-variants","Yes","ItemVariants;VariantOptions;ItemTemplates","Partial","Variant seed","PARTIAL","Template inheritance and alias depth incomplete","Template/option tables partial","CRITICAL"
"W043 Barcode / Label Setup","/api/item-barcodes","Yes","ItemBarcodes;LabelTemplates;PrintRules","Partial","Barcode seed","PARTIAL","Label templates and scan rules incomplete","Label template tables partial","CRITICAL"
"W044 Customer List","/api/customers","Yes","Customers;CustomerSites;CustomerContacts;CreditProfiles","Partial","Customer seed","PARTIAL","List lacks credit/site/risk depth","Customer V2 tables partial","CRITICAL"
"W045 Customer Detail","/api/customers;/api/customer-addresses","Partial","Customers;CustomerSites;ContactPoints;CreditProfiles;CustomerTerms;CustomerDocuments","Partial","Customer detail seed","PARTIAL","Sites contacts credit terms docs incomplete","Contact/credit/terms tables missing or partial","CRITICAL"
"W046 Supplier List","/api/suppliers","Yes","Suppliers;SupplierSites;SupplierCompliance;SupplierLeadTimes","Partial","Supplier seed","PARTIAL","Compliance and performance depth incomplete","Supplier V2 tables partial","CRITICAL"
"W047 Supplier Detail","/api/suppliers;/api/supplier-addresses","Partial","Suppliers;SupplierSites;ContactPoints;SupplierTerms;ComplianceDocuments","Partial","Supplier detail seed","PARTIAL","Sites contacts compliance terms incomplete","Contact/compliance tables missing or partial","CRITICAL"
"W048 Supplier Lead Time Matrix","/api/supplier-lead-times","Yes","SupplierLeadTimes;SupplierItems;ItemGroups","Partial","Lead-time seed","PARTIAL","Effective date/version/reliability incomplete","History/version tables partial","HIGH"
"W049 Attachment Viewer","/api/attachments","Partial","Documents;DocumentVersions;MediaFiles;DocumentLinks;Permissions","Partial","Document seed","FALLBACK","Document service and UI lifecycle incomplete","Document/version/media tables partial","CRITICAL"
"W050 Quote List","/api/quotes","Yes","Quotes;QuoteLines;PriceLists;DiscountRules;TaxRules","Partial","Quote seed","PARTIAL","Pricing/discount/tax depth incomplete","Commercial master tables missing/partial","HIGH"
"W051 Sales Order List","/api/sales-orders","Yes","SalesOrders;SalesOrderLines;Customers;OrderStages","Partial","Sales order seed","PARTIAL","Stage/readiness depth incomplete","Commercial/order stage partial","HIGH"
"W052 Sales Order Detail","/api/sales-orders","Yes","SalesOrders;SalesOrderLines;CustomerRefs;Documents;Pricing","Partial","SO detail seed","PARTIAL","Line specs attachments pricing incomplete","Customer refs/pricing tables partial","HIGH"
"W053 Blanket Order","/api/blanket-orders","Yes","BlanketOrders;BlanketReleases;Contracts","Partial","Blanket seed","PARTIAL","Release schedule and terms lifecycle shallow","Contract/release tables partial","MEDIUM"
"W054 Demand Forecast","/api/forecasts","Yes","Forecasts;ForecastVersions;ForecastLines","Partial","Forecast seed","PARTIAL","Import/version/consumption incomplete","Version/consumption tables partial","HIGH"
"W055 MPS Planner","/api/mps","Yes","MpsPlans;MpsLines;Forecasts;SalesOrders","Partial","MPS seed","PARTIAL","Frozen horizon and override audit incomplete","Planning override audit partial","HIGH"
"W056 ATP","/api/atp or planning promise endpoint","Partial","InventoryBalances;CapacityPlans;Reservations;PromiseRecords","Partial","ATP seed","FALLBACK","No robust ATP contract","Promise/reservation read model partial","CRITICAL"
"W057 Order Delivery Dashboard","/api/dashboards/order-delivery","Yes","OrderStages;SalesOrders;WorkOrders;Dispatch","Partial","Order risk seed","PARTIAL","Drilldown/action depth incomplete","Stage read model partial","HIGH"
"W060 BOM Library","/api/boms","Yes","Boms;BomRevisions;Items","Yes","BOM seed","PARTIAL","Release readiness read model shallow","None critical","HIGH"
"W061 BOM Detail","/api/boms","Yes","Boms;BomComponents;BomOperations;BomDocuments;Approvals","Partial","BOM detail seed","PARTIAL","Effectivity documents and validation incomplete","Bom document/effectivity partial","HIGH"
"W062 BOM Comparison","/api/boms","Partial","BomRevisions;BomComponents;BomComparisonViews","Partial","Revision seed","PARTIAL","Comparison API/read model shallow","Comparison view missing/partial","MEDIUM"
"W063 ECO","/api/engineering-changes","Yes","EngineeringChanges;ChangeImpacts;Approvals;AuditEvents","Partial","ECO seed","PARTIAL","Impact checklist lifecycle incomplete","Impact/checklist tables partial","HIGH"
"W064 Routing Library","/api/routings","Yes","Routings;RoutingOperations;WorkCenters;Machines;Tools","Partial","Routing seed","PARTIAL","Resource setup depth missing in UI","Resource dependencies partial","HIGH"
"W065 Operation Standards","/api/operations","Yes","Operations;OperationParameters;Skills;QcFlags","Partial","Operation seed","PARTIAL","Parameter and work instruction depth incomplete","Operation parameter tables partial","HIGH"
"W066 BOQ Requirements","/api/boq-requirements","Yes","BoqRequirements;MrpRuns;Inventory;Items","Yes","BOQ seed","PARTIAL","Conversion action audit incomplete","Action audit partial","HIGH"
"W067 MRP Run Console","/api/mrp","Yes","MrpRuns;MrpRunInputs;MrpExceptions","Partial","MRP seed","PARTIAL","Run version explainability incomplete","Run input snapshots partial","HIGH"
"W068 MRP Exceptions","/api/mrp","Yes","MrpExceptions;ExceptionActions;PurchaseRequisitions;WorkOrders","Partial","Exception seed","PARTIAL","Owner/action workflow incomplete","Exception action tables partial","HIGH"
"W069 Capacity Planning","/api/capacity","Partial","CapacityPlans;WorkCenters;Machines;Shifts;JobCards","Partial","Capacity seed","PARTIAL","Capacity service/read model shallow","Capacity snapshots partial","HIGH"
"W070 Alternate Items","/api/alternate-items","Yes","AlternateItems;SubstitutionRules;CustomerRestrictions","Partial","Alternate item seed","PARTIAL","Restriction/effectivity depth incomplete","Restriction tables partial","MEDIUM"
"W071 Subcontract Plan","/api/subcontract-orders","Yes","SubcontractOrders;ExternalOperations;PurchaseOrders","Partial","Subcontract seed","PARTIAL","Send-out/receive-back integration incomplete","External operation links partial","HIGH"
"W072 Purchase Requisition List","/api/purchase-requisitions","Yes","PurchaseRequisitions;PrLines;Approvals","Partial","PR seed","PARTIAL","Approval/source trace shallow","Approval links partial","HIGH"
"W073 Purchase Requisition Detail","/api/purchase-requisitions","Yes","PurchaseRequisitions;PrLines;SourceDemand","Partial","PR detail seed","PARTIAL","Detail editor shallow","Source links partial","HIGH"
"W074 Purchase Order List","/api/purchase-orders","Yes","PurchaseOrders;PoLines;Suppliers","Partial","PO seed","PARTIAL","Expedite/receipt linkage shallow","Receipt links partial","HIGH"
"W075 Purchase Order Detail","/api/purchase-orders","Yes","PurchaseOrders;PoLines;Receipts;SupplierTerms","Partial","PO detail seed","PARTIAL","Terms receipts outside processing incomplete","Supplier terms partial","HIGH"
"W080 Work Orders List","/api/work-orders","Yes","WorkOrders;WorkOrderLines;BomSnapshots;RoutingSnapshots","Yes","WO seed","PARTIAL","Release readiness validation needs depth","Readiness read model partial","HIGH"
"W081 Work Order Detail","/api/work-orders","Yes","WorkOrders;WoMaterials;WoOperations;Reservations;AuditEvents","Partial","WO detail seed","PARTIAL","Materials operations timeline audit incomplete","Reservation/audit partial","HIGH"
"W082 Job Cards List","/api/job-cards","Yes","JobCards;Machines;Operators;WorkOrders","Yes","Job card seed","PARTIAL","Assignment/mobile parity shallow","Operator assignment partial","HIGH"
"W083 Job Card Timeline","/api/job-cards","Yes","JobCardEvents;Downtime;ProductionReceipts;Media","Partial","Timeline seed","PARTIAL","Proof and transition validation incomplete","Media/event detail partial","HIGH"
"W084 Machine Board","/api/machine-board","Yes","MachineBoardViews;Machines;JobCards;Downtime","Yes","Machine queue seed","PARTIAL","Action gating/readiness shallow","Readiness view partial","HIGH"
"W085 Occupancy Calendar","/api/capacity or /api/machine-board","Partial","MachineOccupancy;Shifts;JobCards;CapacityPlans","Partial","Occupancy seed","PARTIAL","Calendar/resource depth incomplete","Occupancy view partial","MEDIUM"
"W086 Material Issue","/api/stock-issues","Yes","StockIssues;InventoryMovements;Reservations;Lots","Partial","Issue seed","PARTIAL","Scan/lot/reservation validation incomplete","Lot/reservation depth partial","HIGH"
"W087 Material Return","/api/stock-returns","Yes","StockReturns;InventoryMovements;IssueLinks;Lots","Partial","Return seed","PARTIAL","Original issue reconciliation incomplete","Issue link partial","HIGH"
"W088 Production Receipt","/api/production-receipts","Yes","ProductionReceipts;InventoryMovements;Lots;Serials;CatchWeights","Partial","Receipt seed","PARTIAL","Tracking/QC/source validation incomplete","Lot/serial/catch-weight depth partial","CRITICAL"
"W089 Scrap / By-product","/api/scrap-rework","Yes","ScrapEntries;ByProducts;InventoryMovements;ReasonCodes","Partial","Scrap seed","PARTIAL","Valuation/cost hooks and source reconciliation incomplete","Cost hooks deferred","CRITICAL"
"W090 Rework Order","/api/scrap-rework","Yes","ReworkOrders;Ncrs;JobCards;InventoryMovements","Partial","Rework seed","PARTIAL","NCR linkage lifecycle incomplete","NCR/rework linkage partial","CRITICAL"
"W091 Shift Production Entry","/api/work-orders;/api/job-cards;/api/production-receipts","Partial","ShiftProductionEntries;JobCardEvents;Receipts","Partial","Shift seed","PARTIAL","Reconciliation workflow incomplete","Shift entry table partial","HIGH"
"W092 Downtime Register","/api/downtime","Yes","DowntimeEvents;Machines;JobCards;ReasonCodes","Yes","Downtime seed","PARTIAL","Overlap and escalation workflow incomplete","Escalation partial","HIGH"
"W093 Machine Status","/api/machine-board or machine status endpoint","Partial","MachineStatusEvents;DowntimeEvents;OeeSnapshots","Partial","Machine status seed","PARTIAL","OEE source metrics shallow","OEE snapshots partial","MEDIUM"
"W094 Inventory Balance","/api/inventory","Yes","InventoryBalances;InventoryMovements;Lots;Bins","Yes","Inventory seed","PARTIAL","Lot/serial/catch-weight drilldown incomplete","Tracking depth partial","HIGH"
"W095 Stock Transfer","/api/stock-transfers","Yes","StockTransfers;InventoryMovements;Bins;Lots","Yes","Transfer seed","PARTIAL","Scan and approval workflow shallow","Approval/status partial","HIGH"
"W096 Cycle Count","/api/cycle-counts","Yes","CycleCounts;CountLines;VarianceApprovals;Inventory","Partial","Count seed","PARTIAL","Freeze/recount/variance lifecycle incomplete","Variance approvals partial","HIGH"
"W097 Traceability","/api/traceability","Yes","TraceabilityViews;InventoryMovements;Lots;Serials","Partial","Trace seed","PARTIAL","Trace pack and document proof incomplete","Trace read model partial","HIGH"
"W100 QC Plan Setup","/api/quality/plans","Yes","QcPlans;QcParameters;SampleRules;Items","Partial","QC plan seed","PARTIAL","Versioned parameter library incomplete","Parameter/version tables partial","HIGH"
"W101 Incoming Inspection","/api/quality/inspections","Yes","QcInspections;InspectionResults;SupplierReceipts;Lots","Partial","Incoming QC seed","PARTIAL","Supplier receipt linkage shallow","Receipt link partial","HIGH"
"W102 In-Process Inspection","/api/quality/inspections","Yes","QcInspections;InspectionResults;JobCards;Operations","Partial","In-process QC seed","PARTIAL","Operation checkpoint depth incomplete","Checkpoint links partial","HIGH"
"W103 Final Inspection","/api/quality/inspections","Yes","QcInspections;InspectionResults;ProductionReceipts;Dispatch","Partial","Final QC seed","PARTIAL","Dispatch release rules shallow","Release status partial","HIGH"
"W104 NCR / Deviation","/api/quality/ncrs","Yes","Ncrs;NcrActions;Holds;ReworkOrders","Partial","NCR seed","PARTIAL","Disposition/root-cause lifecycle incomplete","NCR action tables partial","HIGH"
"W105 Pack List","/api/dispatch/pack-lists","Yes","PackLists;PackLines;Labels;InventoryLots","Partial","Pack seed","PARTIAL","Packaging/label/customer refs incomplete","Label/package tables partial","HIGH"
"W106 Dispatch Planning","/api/dispatch/planning","Yes","DispatchPlans;PackLists;Shipments;OrderStages","Partial","Dispatch plan seed","PARTIAL","Readiness blocker model shallow","Dispatch readiness partial","HIGH"
"W107 Shipment / Delivery","/api/dispatch/shipments","Yes","Shipments;ShipmentLines;ProofMedia;CustomerSites","Partial","Shipment seed","PARTIAL","Proof/customer site/deployment depth incomplete","Proof/customer site partial","HIGH"
"W108 Stage Wise Dashboard","/api/dashboards/stage-wise","Yes","OrderStages;StageEvents;Owners;Blockers","Partial","Stage seed","PARTIAL","Escalation and ownership lifecycle incomplete","Stage event depth partial","HIGH"
"W109 Print Pack / Traveler / Labels","/api/reports/pack-lists;/api/reports/work-orders","Partial","ReportTemplates;PrintJobs;LabelTemplates;Documents","Partial","Template seed","PARTIAL","Template localization and print audit incomplete","Template governance missing/partial","HIGH"
"W110 AI Provider Setup","/api/ai/providers;/api/ai/provider-health","Yes","AiProviders;AiModels;ProviderHealth;SecretsMetadata","Partial","AI provider seed","UNKNOWN","No web admin UI","Secret governance metadata partial","HIGH"
"W111 AI Prompt Template Setup","/api/ai/prompt-templates","Yes","AiPromptTemplates;PromptVersions;Approvals","Partial","Prompt seed","UNKNOWN","No web prompt UI","Prompt version approvals partial","HIGH"
"W112 AI Operations Assistant","/api/ai/assistant/*","Yes","AiRuns;AiDrafts;ApprovedDataScopes","Partial","AI assistant seed","UNKNOWN","No assistant UI and source-citation UX","Data scope/read model partial","HIGH"
"W113 AI Daily Summary Review","/api/ai/daily-summaries/draft","Yes","AiDailySummaries;AiDraftApprovals;Notifications","Partial","Summary seed","UNKNOWN","No review UI","Approval/send linkage partial","HIGH"
"W114 Executive Cockpit","/api/dashboards/executive-cockpit","Yes","ExecutiveKpiViews;Orders;Production;Quality;Dispatch","Partial","Executive demo data","PARTIAL","Trend/drilldown depth incomplete","KPI read models partial","HIGH"
"W115 Audit Trail Viewer","/api/audit","No","AuditEvents;EntityChangeLog;UserActions","Partial","Audit seed","UNKNOWN","No audit viewer API/UI","Audit read model incomplete","CRITICAL"
"M001 Mobile Login","/api/auth/login;/api/auth/me","Partial","Users;Devices;Sessions","Partial","Mobile user seed","DEMO","Device trust/session hardening missing","Device registry partial","CRITICAL"
"M002 Mobile Context Switch","/api/auth/switch-context;/api/companies;/api/branches","Partial","UserScopes;Companies;Branches;Warehouses","Yes","Mobile context seed","FALLBACK","Live selector and queue guard missing","None critical","HIGH"
"M003 My Dashboard","/api/dashboards/mobile or domain APIs","Partial","UserTasks;Notifications;JobCards;Approvals","Partial","Mobile task seed","DEMO","Mobile task API composition missing","Task read model partial","HIGH"
"M004 Notifications / Inbox","/api/notifications","Partial","Notifications;NotificationRecipients","Yes","Notification seed","FALLBACK","Mobile read/sync handling shallow","None critical","MEDIUM"
"M005 My Approvals","/api/approvals","Partial","Approvals;ApprovalSteps;AuditEvents","Partial","Approval seed","FALLBACK","Queued decision conflict handling missing","Audit detail partial","HIGH"
"M006 My Job Cards Queue","/api/job-cards","Partial","JobCards;Assignments;Machines","Partial","Job card seed","DEMO","Live assignment API usage incomplete","Assignment table/view partial","CRITICAL"
"M007 Job Card Detail","/api/job-cards","Partial","JobCards;JobCardMaterials;Documents;QcFlags","Partial","Job detail seed","DEMO","Docs/materials/live detail incomplete","Document links partial","CRITICAL"
"M008 Execution Action Sheet","/api/job-cards/{id}/actions or mobile replay","Partial","JobCardEvents;MobileActionQueue;IdempotencyKeys","Partial","Execution seed","DEMO","Idempotent sync/replay incomplete","Mobile queue/idempotency partial","CRITICAL"
"M009 Good / Reject / Scrap Entry","/api/production-receipts;/api/scrap-rework","Partial","ProductionReceipts;ScrapEntries;JobCardEvents","Partial","Output seed","DEMO","Qty reconciliation and proof incomplete","Proof/source link partial","CRITICAL"
"M010 Material Issue Scan","/api/stock-issues","Partial","StockIssues;InventoryBalances;Reservations;Scans","Partial","Material issue seed","DEMO","Scanner validation/live stock check incomplete","Scan event table partial","CRITICAL"
"M011 Material Return Scan","/api/stock-returns","Partial","StockReturns;IssueLinks;InventoryMovements","Partial","Return seed","DEMO","Original issue reconciliation incomplete","Issue link partial","HIGH"
"M012 Bin Transfer / Putaway","/api/stock-transfers","Partial","StockTransfers;InventoryMovements;Bins","Yes","Transfer seed","DEMO","Offline conflict handling incomplete","Sync conflict logs missing/partial","HIGH"
"M013 Cycle Count","/api/cycle-counts","Partial","CycleCounts;CountLines;VarianceApprovals","Partial","Count seed","DEMO","Freeze/recount lifecycle incomplete","Variance partial","HIGH"
"M014 Downtime Log","/api/downtime","Partial","DowntimeEvents;Machines;JobCards;Media","Partial","Downtime seed","DEMO","Overlap validation/live assignment incomplete","Media/linkage partial","HIGH"
"M015 Machine Status Update","/api/machine-board or machine status endpoint","Partial","MachineStatusEvents;Machines;Operators","Partial","Machine seed","DEMO","Status update endpoint and assignment depth unclear","Status event depth partial","HIGH"
"M016 QC Checkpoint Entry","/api/quality/inspections","Partial","QcInspections;InspectionResults;Media;Holds","Partial","QC seed","DEMO","Plan-driven parameter capture incomplete","Media/hold link partial","CRITICAL"
"M017 Production Receipt","/api/production-receipts","Partial","ProductionReceipts;Lots;Serials;CatchWeights;InventoryMovements","Partial","Receipt seed","DEMO","Server-validated irreversible receipt incomplete","Tracking depth partial","CRITICAL"
"M018 Rework / NCR Capture","/api/quality/ncrs;/api/scrap-rework","Partial","Ncrs;ReworkOrders;Holds;Media","Partial","NCR seed","DEMO","Disposition/rework sync incomplete","Media/disposition partial","CRITICAL"
"M019 Dispatch Loading / Proof","/api/dispatch/proof","Partial","DispatchProof;Shipments;PackLists;Media","Partial","Dispatch seed","DEMO","Live shipment tasking and proof upload incomplete","Proof media partial","HIGH"
"M020 Order Snapshot","/api/dashboards/order-delivery","Partial","OrderStages;SalesOrders;DashboardViews","Partial","Order dashboard seed","DEMO","Mobile-specific read model missing","Read model partial","MEDIUM"
"M021 Stage Wise Mobile Board","/api/dashboards/stage-wise","Partial","StageEvents;Blockers;Owners","Partial","Stage seed","DEMO","Mobile blocker drilldown incomplete","Stage owner depth partial","MEDIUM"
"M022 Shift Handover","/api/shift-handover or production summary endpoint","No","ShiftHandovers;HandoverMedia;ShiftProductionEntries","Partial","Handover seed","DEMO","No clear live handover API","Handover/media tables missing/partial","HIGH"
"M023 Attachments / Photo / Voice Upload","/api/attachments or media upload endpoint","Partial","MediaFiles;DocumentLinks;UploadQueue;Permissions","Partial","Media seed","DEMO","Reusable media upload subsystem incomplete","Upload queue/permissions partial","HIGH"
"M024 Settings / Sync Status / Language","/api/mobile/sync-status or local queue","No","MobileQueue;SyncConflicts;Devices;Languages","Partial","Device/sync seed","DEMO","No production sync status contract","Queue/conflict tables missing/partial","CRITICAL"
